rop,q,service_level,stockout_days,avg_on_hand,max_on_hand,holding_cost,stockout_cost,expedite_cost,total_cost,meets_target
180,400,0.9706224549156486,10,273.49444444444447,743,984.5799999999999,606.0,1500.0,3090.58,True
200,100,0.9324443141852286,23,66.80555555555556,210,240.5,1383.0,4250.0,5873.5,False
200,150,0.9531976744186047,20,95.27222222222223,285,342.98,966.0,2500.0,3808.98,False
200,200,0.9609600925390399,16,125.57777777777778,337,452.08000000000004,810.0,2750.0,4012.08,False
200,250,0.9633794694348328,14,156.53333333333333,448,563.52,762.0,1750.0,3075.52,False
200,300,0.9720856233728666,13,197.09444444444443,534,709.54,579.0,1500.0,2788.54,True
200,350,0.9764054762598311,9,258.5388888888889,619,930.74,486.0,1750.0,3166.74,True
200,400,0.9760557248585111,9,261.27222222222224,743,940.58,495.0,1250.0,2685.58,True
220,100,0.9260599045000724,23,80.94444444444444,320,291.4,1533.0,3000.0,4824.4,False
220,150,0.9565279565279565,16,115.9888888888889,338,417.55999999999995,912.0,2250.0,3579.56,False
220,200,0.964404092808762,14,139.34444444444443,366,501.64,741.0,2250.0,3492.64,False
220,250,0.971718636693256,11,154.01666666666668,464,554.46,585.0,1750.0,2889.46,True
220,300,0.9705241759837375,12,196.74444444444444,534,708.28,609.0,1500.0,2817.2799999999997,True
220,350,0.9609477841158403,8,248.91666666666666,664,896.1,801.0,1500.0,3197.1,False
220,400,0.9798854793716048,8,282.48333333333335,747,1016.94,411.0,1500.0,2927.94,True
240,100,0.9518463810930576,19,87.12222222222222,263,313.64,978.0,2750.0,4041.64,False
240,150,0.9623994147768837,11,115.7,337,416.52,771.0,2500.0,3687.52,False
240,200,0.9680228408279801,8,161.19444444444446,421,580.3,672.0,1250.0,2502.3,False
240,250,0.9655524740913736,13,161.0,464,579.6,708.0,1750.0,3037.6,False
240,300,0.9750977269436804,7,200.59444444444443,533,722.14,516.0,1250.0,2488.14,True
240,350,0.9957167332952599,4,222.66666666666666,577,801.5999999999999,90.0,500.0,1391.6,True
240,400,0.9870416728022382,6,276.9277777777778,747,996.94,264.0,1250.0,2510.94,True
260,100,0.9587283068397259,15,91.05,264,327.78,849.0,1750.0,2926.7799999999997,False
260,150,0.9543959971408149,12,133.57777777777778,361,480.88,957.0,1750.0,3187.88,False
260,200,0.9699842022116903,10,163.99444444444444,487,590.38,627.0,1250.0,2467.38,False
260,250,0.974421965317919,7,200.38888888888889,496,721.4000000000001,531.0,1500.0,2752.4,True
260,300,0.9856999856999857,5,213.01111111111112,547,766.84,300.0,1000.0,2066.84,True
260,350,0.99160393746381,6,204.59444444444443,577,736.54,174.0,500.0,1410.54,True
260,400,0.9852724594992637,8,245.37777777777777,764,883.3599999999999,300.0,750.0,1933.36,True
280,100,0.9733197259075667,9,101.81111111111112,270,366.52,549.0,1500.0,2415.52,True
280,150,0.970523537175539,10,125.66666666666667,332,452.40000000000003,603.0,1750.0,2805.4,True
280,200,0.979396194019173,9,178.42222222222222,487,642.32,432.0,1250.0,2324.32,True
280,250,0.9744478129060199,7,209.25,508,753.3,531.0,1000.0,2284.3,True
280,300,0.9908203409587644,7,212.98333333333332,519,766.74,189.0,1250.0,2205.74,True
280,350,0.9907953401409464,3,262.89444444444445,611,946.4200000000001,192.0,750.0,1888.42,True
280,400,0.9910974897840047,3,261.9,714,942.84,183.0,500.0,1625.8400000000001,True
